API_WellNo,Cnty,Hole,SideTrck,Completion
31000171670000,0,17167,0,0
31000321820000,0,32182,0,0
31000664470000,0,66447,0,0
31001010720000,1,1072,0,0
31001010730000,1,1073,0,0
31001210070000,1,21007,0,0
31001210080000,1,21008,0,0
31001210090000,1,21009,0,0
31001210100000,1,21010,0,0
31001210110000,1,21011,0,0
31001210140000,1,21014,0,0
31001210150000,1,21015,0,0
31001210160000,1,21016,0,0
31001210170000,1,21017,0,0
31001210180000,1,21018,0,0
31001210190000,1,21019,0,0
31001210200000,1,21020,0,0
31001210210000,1,21021,0,0
31001210220000,1,21022,0,0
31001210230000,1,21023,0,0
31003000050000,3,5,0,0
31003000060000,3,6,0,0
31003000070000,3,7,0,0
31003000080000,3,8,0,0
31003000090000,3,9,0,0
31003000100000,3,10,0,0
31003000120000,3,12,0,0
31003000130000,3,13,0,0
31003000140000,3,14,0,0
31003000150000,3,15,0,0
31003000160000,3,16,0,0
31003000170000,3,17,0,0
31003000180000,3,18,0,0
31003000190000,3,19,0,0
31003000200000,3,20,0,0
31003000210000,3,21,0,0
31003000220000,3,22,0,0
31003000230000,3,23,0,0
31003000440000,3,44,0,0
31003000460000,3,46,0,0
31003000550000,3,55,0,0
31003000590000,3,59,0,0
31003000840000,3,84,0,0
31003000850000,3,85,0,0
31003000860000,3,86,0,0
31003000870000,3,87,0,0
31003002320000,3,232,0,0
31003002330000,3,233,0,0
31003002340000,3,234,0,0
31003002350000,3,235,0,0
31003002360000,3,236,0,0
31003002370000,3,237,0,0
31003002380000,3,238,0,0
31003002390000,3,239,0,0
31003002400000,3,240,0,0
31003002410000,3,241,0,0
31003002420000,3,242,0,0
31003002430000,3,243,0,0
31003002440000,3,244,0,0
31003002450000,3,245,0,0
31003002460000,3,246,0,0
31003002470000,3,247,0,0
31003002480000,3,248,0,0
31003002500000,3,250,0,0
31003002510000,3,251,0,0
31003002520000,3,252,0,0
31003002530000,3,253,0,0
31003002540000,3,254,0,0
31003002560000,3,256,0,0
31003002580000,3,258,0,0
31003002590000,3,259,0,0
31003002600000,3,260,0,0
31003002610000,3,261,0,0
31003002640000,3,264,0,0
31003002650000,3,265,0,0
31003002660000,3,266,0,0
31003002670000,3,267,0,0
31003002700000,3,270,0,0
31003002720000,3,272,0,0
31003002730000,3,273,0,0
31003002740000,3,274,0,0
31003002760000,3,276,0,0
31003002770000,3,277,0,0
31003003350000,3,335,0,0
31003003360000,3,336,0,0
31003003370000,3,337,0,0
31003003380000,3,338,0,0
31003003390000,3,339,0,0
31003003400000,3,340,0,0
31003003410000,3,341,0,0
31003003420000,3,342,0,0
31003003430000,3,343,0,0
31003003440000,3,344,0,0
31003003450000,3,345,0,0
31003003460000,3,346,0,0
31003003470000,3,347,0,0
31003003480000,3,348,0,0
31003003490000,3,349,0,0
31003003500000,3,350,0,0
31003003510000,3,351,0,0
31003003520000,3,352,0,0
31003003530000,3,353,0,0
31003003540000,3,354,0,0
31003003550000,3,355,0,0
31003003560000,3,356,0,0
31003003570000,3,357,0,0
31003003580000,3,358,0,0
31003003590000,3,359,0,0
31003003600000,3,360,0,0
31003003610000,3,361,0,0
31003003620000,3,362,0,0
31003003630000,3,363,0,0
31003003640000,3,364,0,0
31003003650000,3,365,0,0
31003003660000,3,366,0,0
31003003680000,3,368,0,0
31003003690000,3,369,0,0
31003003700000,3,370,0,0
31003003710000,3,371,0,0
31003003710001,3,371,0,1
31003003740000,3,374,0,0
31003003750000,3,375,0,0
31003003760000,3,376,0,0
31003003790000,3,379,0,0
31003003790001,3,379,0,1
31003003800000,3,380,0,0
31003003810000,3,381,0,0
31003003810001,3,381,0,1
31003003820000,3,382,0,0
31003003830000,3,383,0,0
31003003830001,3,383,0,1
31003003840000,3,384,0,0
31003003850000,3,385,0,0
31003003870000,3,387,0,0
31003003880000,3,388,0,0
31003003890000,3,389,0,0
31003003900000,3,390,0,0
31003003930000,3,393,0,0
31003003940000,3,394,0,0
31003003950000,3,395,0,0
31003003960000,3,396,0,0
31003003970000,3,397,0,0
31003003980000,3,398,0,0
31003003990000,3,399,0,0
31003004000000,3,400,0,0
31003004010000,3,401,0,0
31003004020000,3,402,0,0
31003004030000,3,403,0,0
31003004040000,3,404,0,0
31003004050000,3,405,0,0
31003004060000,3,406,0,0
31003004070000,3,407,0,0
31003004080000,3,408,0,0
31003004100000,3,410,0,0
31003004120000,3,412,0,0
31003004350000,3,435,0,0
31003004360000,3,436,0,0
31003004370000,3,437,0,0
31003004380000,3,438,0,0
31003004390000,3,439,0,0
31003004400000,3,440,0,0
31003004410000,3,441,0,0
